Tid=meas,Lys=meas,Bryter=meas,GyroAngle=meas,PowerA=meas,PowerD=meas,Avstand=calc
start_tidspunkt=1586629887.51736,lys_initial=5
10.98015213012695,5,0,-4,0,0,
11.11934208869934,5,1,-3,0,0,
11.23934292793274,5,1,-3,0,0,
11.36577010154724,5,1,-5,0,0,
11.48975992202759,5,0,-5,0,0,
11.60610914230347,5,1,-5,0,0,
11.73670291900635,5,1,-5,0,0,
11.86921501159668,5,1,-4,0,0,
11.99307203292847,5,0,-4,0,0,
12.11717391014099,5,0,-6,0,0,
12.24597096443176,5,0,-6,0,0,
12.37472701072693,5,0,-5,0,0,
12.49951410293579,5,1,-4,0,0,
12.6321120262146,5,1,-4,0,0,
12.74881100654602,5,1,-5,0,0,
12.88805508613587,5,1,-6,0,0,
13.01671409606934,5,1,-6,0,0,
13.13453602790833,5,1,-5,0,0,
13.25820112228394,5,1,-5,0,0,
13.38021898269653,5,1,-6,0,0,
13.50824809074402,5,0,-6,0,0,
13.63591814041138,5,0,-6,0,0,
13.75053405761719,5,0,-6,0,0,
13.88291907310486,5,0,-7,0,0,
14.00825595855713,5,0,-6,0,0,
14.13521599769592,5,1,-6,0,0,
14.2561731338501,5,1,-6,0,0,
14.37680101394653,5,1,-6,0,0,
14.49868702888489,5,1,-7,0,0,
14.63274812698364,5,1,-7,0,0,
14.75468897819519,5,1,-7,0,0,
14.89322900772095,5,0,-6,0,0,
15.02477312088013,5,0,-7,0,0,
15.14767909049988,5,1,-7,0,0,
15.26936006546021,5,1,-6,0,0,
15.3809859752655,5,1,-8,0,0,
15.51930809020996,5,1,-8,0,0,
15.66913795471192,5,0,-7,0,0,
15.8121440410614,5,0,-6,0,0,
15.94949793815613,5,1,-6,0,0,
16.08804297447205,5,1,-8,0,0,
16.23608803749085,5,0,-8,0,0,
16.40210700035095,5,0,-8,0,0,
16.5666139125824,5,1,-7,0,0,
16.71713495254517,5,1,-8,0,0,
16.84852910041809,5,0,-8,0,0,
17.02716398239136,5,0,-9,0,0,
17.17076992988587,5,1,-10,0,0,
17.31288814544678,5,1,-9,0,0,
17.43822813034058,5,0,-7,0,0,
17.56878805160523,5,1,-8,0,0,
17.68820810317993,5,0,-9,0,0,
17.81379795074463,5,1,-10,0,0,
17.9582679271698,5,0,-10,0,0,
18.07932305335999,5,1,-9,0,0,
18.19909405708313,5,1,-8,0,0,
18.3222439289093,5,0,-9,0,0,
18.44681310653687,5,1,-9,0,0,
18.56599807739258,5,1,-9,0,0,
18.7055139541626,5,0,-10,0,0,
18.82891893386841,5,1,-9,0,0,
18.95712900161743,5,1,-9,0,0,
19.08947491645813,5,0,-9,0,0,
19.21739006042481,5,1,-9,0,0,
19.34289598464966,5,1,-10,0,0,
19.47744011878967,5,0,-10,0,0,
19.61097502708435,5,1,-10,0,0,
19.73319292068481,5,1,-10,0,0,
19.85949611663818,5,0,-10,0,0,
19.99022197723389,5,1,-10,0,0,
20.11707997322083,5,0,-10,0,0,
20.24450492858887,5,1,-10,0,0,
20.36817407608032,5,0,-10,0,0,
20.4821310043335,5,1,-10,0,0,
20.60389494895935,5,1,-11,0,0,
20.74816513061524,5,0,-11,0,0,
20.86783814430237,5,1,-10,0,0,
20.99672198295593,5,0,-10,0,0,
21.12907195091247,5,1,-11,0,0,
21.25099301338196,5,0,-6,0,0,
21.379399061203,5,0,-7,0,0,
21.50738596916199,5,0,-19,0,0,
21.62689304351807,5,1,-18,0,0,
21.75672197341919,5,1,-11,0,0,
21.88458204269409,5,0,-10,0,0,
22.01214694976807,5,1,-14,0,0,
22.12772703170776,5,1,-16,0,0,
22.25100207328797,5,0,-22,0,0,
22.37884306907654,5,1,-16,0,0,
22.50274610519409,5,0,-17,0,0,
22.63058805465698,5,1,-10,0,0,
22.74934005737305,5,0,-12,0,0,
22.87454605102539,5,0,-14,0,0,
23.00528311729431,5,0,-17,0,0,
23.13486099243164,5,0,-21,0,0,
23.25658702850342,5,1,-18,0,0,
23.39158511161804,5,0,-16,0,0,
23.52615594863892,5,0,-15,0,0,
23.63881611824036,5,1,-17,0,0,
23.75898194313049,5,0,-19,0,0,
23.90283703804016,5,0,-18,-50.58823529411764,-50.58823529411764,
24.04381108283997,5,0,-21,-70.19607843137256,-70.19607843137256,
24.18732810020447,5,0,-19,-72.54901960784314,-72.54901960784314,
24.34059309959412,5,0,-17,-72.54901960784314,-72.54901960784314,
24.47816109657288,5,0,-17,-72.54901960784314,-72.54901960784314,
24.6139669418335,5,0,-19,-72.54901960784314,-72.54901960784314,
24.75723004341126,5,0,-20,-63.13725490196078,-63.13725490196078,
24.90742301940918,5,0,-19,49.01960784313727,49.01960784313727,
25.05735301971436,5,0,-19,98.43137254901961,98.43137254901961,
25.21305704116822,5,0,-20,89.01960784313724,89.01960784313724,
25.34739995002747,5,0,-20,-64.70588235294117,-64.70588235294117,
25.49472308158875,5,0,-20,12.15686274509804,12.15686274509804,
25.66297507286072,5,0,-18,24.70588235294118,24.70588235294118,
25.80355191230774,5,0,-19,-35.68627450980392,-35.68627450980392,
25.96276712417603,5,0,-20,12.15686274509804,12.15686274509804,
26.10950803756714,5,0,-21,34.11764705882351,34.11764705882351,
26.26204800605774,5,0,-20,-24.70588235294118,-24.70588235294118,
26.39923810958862,5,1,-20,-13.72549019607843,-13.72549019607843,
26.54339194297791,5,0,-19,-0.3921568627450966,-0.3921568627450966,
26.68811297416687,5,1,-19,-39.6078431372549,-39.6078431372549,
26.83060193061829,5,0,-19,-52.15686274509804,-52.15686274509804,
