Avstand=calc,Lys=meas,Bryter=meas,PowerD=meas,GyroAngle=meas,Tid=meas,PowerA=meas
start_tidspunkt=1586629887.51736,lys_initial=5
,5,1,0,-1,7.22971510887146,0
,5,1,0,-1,7.359499931335449,0
,5,0,0,-1,7.486182928085327,0
,5,0,0,-2,7.613358974456787,0
,5,1,0,-2,7.732027053833008,0
,5,1,0,-2,7.870926141738892,0
,5,1,0,-2,8.002912044525146,0
,5,0,0,-2,8.124643087387085,0
,5,0,0,-2,8.25593900680542,0
,5,1,0,-2,8.374711990356445,0
,5,1,0,-2,8.518113136291504,0
,5,1,0,-4,8.657344102859497,0
,5,0,0,-4,8.79210901260376,0
,5,0,0,-2,8.941028118133545,0
,5,1,0,-2,9.083981037139893,0
,5,1,0,-3,9.230962991714478,0
,5,0,0,-5,9.367923974990845,0
,5,0,0,-4,9.51972508430481,0
,5,1,0,-2,9.651309967041016,0
,5,1,0,-3,9.816138982772827,0
,5,1,0,-4,9.9637770652771,0
,5,1,0,-5,10.10674095153809,0
,5,1,0,-3,10.24531292915344,0
,5,1,0,-2,10.37177801132202,0
,5,1,0,-3,10.49137711524963,0
,5,1,0,-4,10.62108612060547,0
,5,1,0,-5,10.73878407478333,0
,5,0,0,-5,10.85953497886658,0
,5,0,0,-4,10.98015213012695,0
,5,1,0,-3,11.11934208869934,0
,5,1,0,-3,11.23934292793274,0
,5,1,0,-5,11.36577010154724,0
,5,0,0,-5,11.48975992202759,0
,5,1,0,-5,11.60610914230347,0
,5,1,0,-5,11.73670291900635,0
,5,1,0,-4,11.86921501159668,0
,5,0,0,-4,11.99307203292847,0
,5,0,0,-6,12.11717391014099,0
,5,0,0,-6,12.24597096443176,0
,5,0,0,-5,12.37472701072693,0
,5,1,0,-4,12.49951410293579,0
,5,1,0,-4,12.6321120262146,0
,5,1,0,-5,12.74881100654602,0
,5,1,0,-6,12.88805508613587,0
,5,1,0,-6,13.01671409606934,0
,5,1,0,-5,13.13453602790833,0
,5,1,0,-5,13.25820112228394,0
,5,1,0,-6,13.38021898269653,0
,5,0,0,-6,13.50824809074402,0
,5,0,0,-6,13.63591814041138,0
,5,0,0,-6,13.75053405761719,0
,5,0,0,-7,13.88291907310486,0
,5,0,0,-6,14.00825595855713,0
,5,1,0,-6,14.13521599769592,0
,5,1,0,-6,14.2561731338501,0
,5,1,0,-6,14.37680101394653,0
,5,1,0,-7,14.49868702888489,0
,5,1,0,-7,14.63274812698364,0
,5,1,0,-7,14.75468897819519,0
,5,0,0,-6,14.89322900772095,0
,5,0,0,-7,15.02477312088013,0
,5,1,0,-7,15.14767909049988,0
,5,1,0,-6,15.26936006546021,0
,5,1,0,-8,15.3809859752655,0
,5,1,0,-8,15.51930809020996,0
,5,0,0,-7,15.66913795471192,0
,5,0,0,-6,15.8121440410614,0
,5,1,0,-6,15.94949793815613,0
,5,1,0,-8,16.08804297447205,0
,5,0,0,-8,16.23608803749085,0
,5,0,0,-8,16.40210700035095,0
,5,1,0,-7,16.5666139125824,0
,5,1,0,-8,16.71713495254517,0
,5,0,0,-8,16.84852910041809,0
,5,0,0,-9,17.02716398239136,0
,5,1,0,-10,17.17076992988587,0
,5,1,0,-9,17.31288814544678,0
,5,0,0,-7,17.43822813034058,0
,5,1,0,-8,17.56878805160523,0
,5,0,0,-9,17.68820810317993,0
,5,1,0,-10,17.81379795074463,0
,5,0,0,-10,17.9582679271698,0
,5,1,0,-9,18.07932305335999,0
,5,1,0,-8,18.19909405708313,0
,5,0,0,-9,18.3222439289093,0
,5,1,0,-9,18.44681310653687,0
,5,1,0,-9,18.56599807739258,0
,5,0,0,-10,18.7055139541626,0
,5,1,0,-9,18.82891893386841,0
,5,1,0,-9,18.95712900161743,0
,5,0,0,-9,19.08947491645813,0
,5,1,0,-9,19.21739006042481,0
,5,1,0,-10,19.34289598464966,0
,5,0,0,-10,19.47744011878967,0
,5,1,0,-10,19.61097502708435,0
,5,1,0,-10,19.73319292068481,0
,5,0,0,-10,19.85949611663818,0
,5,1,0,-10,19.99022197723389,0
,5,0,0,-10,20.11707997322083,0
,5,1,0,-10,20.24450492858887,0
,5,0,0,-10,20.36817407608032,0
,5,1,0,-10,20.4821310043335,0
,5,1,0,-11,20.60389494895935,0
,5,0,0,-11,20.74816513061524,0
,5,1,0,-10,20.86783814430237,0
,5,0,0,-10,20.99672198295593,0
,5,1,0,-11,21.12907195091247,0
,5,0,0,-6,21.25099301338196,0
,5,0,0,-7,21.379399061203,0
,5,0,0,-19,21.50738596916199,0
,5,1,0,-18,21.62689304351807,0
,5,1,0,-11,21.75672197341919,0
,5,0,0,-10,21.88458204269409,0
,5,1,0,-14,22.01214694976807,0
,5,1,0,-16,22.12772703170776,0
,5,0,0,-22,22.25100207328797,0
,5,1,0,-16,22.37884306907654,0
,5,0,0,-17,22.50274610519409,0
,5,1,0,-10,22.63058805465698,0
,5,0,0,-12,22.74934005737305,0
,5,0,0,-14,22.87454605102539,0
,5,0,0,-17,23.00528311729431,0
,5,0,0,-21,23.13486099243164,0
,5,1,0,-18,23.25658702850342,0
,5,0,0,-16,23.39158511161804,0
,5,0,0,-15,23.52615594863892,0
,5,1,0,-17,23.63881611824036,0
,5,0,0,-19,23.75898194313049,0
,5,0,-50.58823529411764,-18,23.90283703804016,-50.58823529411764
,5,0,-70.19607843137255,-21,24.04381108283997,-70.19607843137255
,5,0,-72.54901960784314,-19,24.18732810020447,-72.54901960784314
,5,0,-72.54901960784314,-17,24.34059309959412,-72.54901960784314
,5,0,-72.54901960784314,-17,24.47816109657288,-72.54901960784314
,5,0,-72.54901960784314,-19,24.6139669418335,-72.54901960784314
,5,0,-63.13725490196078,-20,24.75723004341126,-63.13725490196078
,5,0,49.01960784313727,-19,24.90742301940918,49.01960784313727
,5,0,98.43137254901961,-19,25.05735301971436,98.43137254901961
